"","county","trade_name","account","license_type","expiration_date","lat","lon","address_full","publish_date","state","expired_y_n"
"1",NA,"DOUBLE M VENDING","NJ_20_237",NA,2023-03-31,41.3751736,-74.6864755,"86 FOWLER ST, PORT JERVIS, NY, 12771",2022-04-01,"NJ","EXPIRED"
"2",NA,"WAWA FOOD MARKET 470","NJ_20_848",NA,2024-03-31,39.8980314,-75.4669397,"260 W. BALTIMORE PIKE, WAWA, PA, 19063",2021-04-01,"NJ","ACTIVE"
"3",NA,"LA COLMENA MEAT MARKET LLC","NJ_20_4092",NA,NA,37.09024,-95.712891,"NA, NA, NA, NA",NA,"NJ","EXPIRED"
"4",NA,"BLIMPIE","NJ_20_5046",NA,NA,37.09024,-95.712891,"NA, NA, NA, NA",NA,"NJ","EXPIRED"
"5",NA,"HD LAUNDROMAT LLC","NJ_20_5167",NA,NA,37.09024,-95.712891,"NA, NA, NA, NA",NA,"NJ","EXPIRED"
"6",NA,"MOUNT EPHRAIM GROCERY INC.","NJ_20_5634",NA,NA,37.09024,-95.712891,"NA, NA, NA, NA",NA,"NJ","EXPIRED"
"7",NA,"DOLLAR GENERAL STORE #8229","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"8",NA,"DOLLAR GENERAL STORE #8943","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"9",NA,"DOLLAR GENERAL STORE #8336","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"10",NA,"DOLLAR GENERAL STORE #8088","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"11",NA,"DOLLAR GENERAL STORE #8313","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"12",NA,"DOLLAR GENERAL STORE #8467","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"13",NA,"DOLLAR GENERAL STORE #8503","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"14",NA,"DOLLAR GENERAL STORE #08543","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"15",NA,"DOLLAR GENERAL STORE #8769","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"16",NA,"DOLLAR GENERAL STORE #8786","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"17",NA,"DOLLAR GENERAL STORE #8717","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"18",NA,"DOLLAR GENERAL STORE #8965","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"19",NA,"DOLLAR GENERAL STORE #8966","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"20",NA,"DOLLAR GENERAL STORE #8189","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"21",NA,"DOLLAR GENERAL STORE #7512","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"22",NA,"DOLLAR GENERAL STORE #10920","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"23",NA,"DOLLAR GENERAL STORE #5818","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"24",NA,"DOLLAR GENERAL STORE #11841","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"25",NA,"DOLLAR GENERAL STORE # 11809","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"26",NA,"DOLLAR GENERAL STORE # 11824","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"27",NA,"DOLLAR GENERAL STORE # 11810","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"28",NA,"DOLLAR GENERAL STORE #11850","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"29",NA,"DOLLAR GENERAL STORE #11896","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"30",NA,"DOLLAR GENERAL STORE #11916","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"31",NA,"DOLLAR GENERAL STORE #12107","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"32",NA,"DOLLAR GENERAL STORE #12103","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"33",NA,"DOLLAR GENERAL STORE #12074","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"34",NA,"DOLLAR GENERAL STORE #12121","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"35",NA,"DOLLAR GENERAL STORE #12340","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"36",NA,"DOLLAR GENERAL STORE #12391","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"37",NA,"DOLLAR GENERAL STORE #12373","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"38",NA,"DOLLAR GENERAL STORE #12195","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"39",NA,"DOLLAR GENERAL STORE #12526","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"40",NA,"DOLLAR GENERAL STORE #12541","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"41",NA,"DOLLAR GENERAL #12585","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"42",NA,"DOLLAR GENERAL #12737","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"43",NA,"DOLLAR GENERAL STORE #12916","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"44",NA,"DOLLAR GENERAL #12477","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"45",NA,"DOLLAR GENERAL #13054","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"46",NA,"DOLLAR GENERAL STORE #13144","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"47",NA,"DOLLAR GENERAL #13386","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"48",NA,"DOLLAR GENERAL #13236","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"49",NA,"DOLLAR GENERAL #13417","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"50",NA,"DOLLAR GENERAL #13783","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"51",NA,"DOLLAR GENERAL #13830","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"52",NA,"DOLLAR GENERAL #13225","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"53",NA,"DOLLAR GENERAL #14194","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"54",NA,"DOLLAR GENERAL #13681","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"55",NA,"DOLLAR GENERAL #14305","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
