County,Legal Name,Trade Name,Postal Code,Country,Account Code,License Type,Expiration Date,Address & Lat/Long
YORK,TWO FARMS INC,ROYAL FARMS # 122,17402-4953,US,67**3584,Cig/OTP Retail,02/28/2022,"2605 S QUEEN ST
YORK, PA 17402-4953
(39.91073, -76.681911)"
BUCKS,LUCKY FIVE INC,RUGERS BEER AND SODA,19056-3006,US,09**9039,Cig/OTP Retail,02/28/2022,"4369 NEW FALLS RD
LEVITTOWN, PA 19056-3006
(40.135342, -74.883108)"
MONTGOMERY,KAYS CIGAR SENSATIONS,KESWICK AVE,19038-4821,US,46**9874,OTP Retail,02/28/2022,"280 N KESWICK AVE
GLENSIDE, PA 19038-4821
(40.105893, -75.147084)"
FAYETTE,DAMICO WHOLESALE LLC,DAMICO CASH AND CARRY,15431,US,26**7367,OTP Retail,02/28/2022,"479 FERGUSON ROAD
DUNBAR, PA 15431
(39.964717, -79.617158)"
WASHINGTON,ANTHONY ZENNER,KEYSTONE CLUB,15301,US,63**7782,Vending,02/28/2022,"2175 MAIN STREET
WASHINGTON, PA 15301"
WASHINGTON,TRI STATE PETROLEUM CORPORATION,TSP 211,15301-8910,US,70**1009,Cig/OTP Retail,02/28/2022,"EXXON WENDYS 211
WASHINGTON, PA 15301-8910"
MONTGOMERY,TWO FARMS INC,ROYAL FARMS #132,19446,US,46**8905,OTP Retail,02/28/2022,"1780 SUMNEYTOWN PIKE
KULPSVILLE, PA 19446
(40.246109, -75.342355)"
BLAIR,CHAD BARNES,SOCIAL VICES,16625,US,07**2627,Cig/OTP Retail,02/28/2022,"12848 DUNNINGS HIGHWAY
CLAYSBURG, PA 16625
(40.282626, -78.45792)"
LANCASTER,PBRIGHT TEKLU,45 NEW DORWART ST,17603,US,36**2928,Cig/OTP Retail,02/28/2022,"45 NEW DORWART ST
LANCASTER, PA 17603
(40.033739, -76.314134)"
ALLEGHENY,TRI STATE PETROLEUM CORPORATION,TSP 221,15084-1511,US,70**1017,Cig/OTP Retail,02/28/2022,"100 E 7TH AVE
TARENTUM, PA 15084-1511
(40.60201, -79.756871)"
LACKAWANNA,HUGO VENDING,RENEGADES,18445,US,35**7799,Vending,02/28/2022,"MAIN STREET
NEWFOUNDLAND, PA 18445"
ERIE,COUNTRY FAIR INC,COUNTRY FAIR INC #73,16505,US,70**8118,Cig/OTP Retail,02/28/2022,"2841 WEST 12TH & PENN
ERIE, PA 16505"
CHESTER,US TRUCK STOP LLC,US TRUCK STOP LLC,19344,US,15**7667,OTP Retail,02/28/2022,"3800 HORSESHOE PIKE
HONEY BROOK, PA 19344
(40.088197, -75.902033)"
PHILADELPHIA,"1 STOP DELI & GROCERY, INC",1 STOP DELI & GROCERY,19140,US,51**9486,OTP Retail,02/28/2022,"3701 GERMANTOWN AVE
PHILADELPHIA, PA 19140
(40.009359, -75.150846)"
PHILADELPHIA,4162 K & P INC,4162  K & P INC,19140-2206,US,51**3230,Cig/OTP Retail,02/28/2022,"4162 N DARIEN ST
PHILADELPHIA, PA 19140-2206
(40.015573, -75.140609)"
DELAWARE,RAMON ESPINAL,SUPER ESPINAL GROCERY,19023-2514,US,23**8275,Cig/OTP Retail,02/28/2022,"522 MAIN ST
DARBY, PA 19023-2514
(39.917675, -75.255137)"
WASHINGTON,ANTHONY ZENNER,ITALIA UNITA CLUB,15022,US,63**7782,Vending,02/28/2022,"514 8TH ST
CHARLEROI, PA 15022
(40.139868, -79.902932)"
DAUPHIN,NATIONAL NOVELTY CO INC,MILLERSBURGER HOTEL,17061,US,22**6028,Vending,02/28/2022,"S MARKET SQUARE
MILLERSBURG, PA 17061"
PHILADELPHIA,AMAN FOOD MARKET INC,AMAN FOOD MARKET INC,19134,US,51**2962,Cig/OTP Retail,02/28/2022,"845 E ALLEGHENY AVE
PHILADELPHIA, PA 19134
(39.996594, -75.114239)"
BERKS,SABOR VAPORS LLC,SABOR VAPORS LLC,19526,US,06**0124,OTP Manufacturer,02/28/2022,"41 SOUTH 4TH ST
HAMBURG, PA 19526
(40.554263, -75.98201)"
PHILADELPHIA,F & E CONVENIENCE STORE INC,F & E CONVENIENCE STORE INC,19134,US,51**3935,Cig/OTP Retail,02/28/2022,"100 E ALLEGHENY AVE
PHILADELPHIA, PA 19134
(39.998533, -75.129114)"
BERKS,ALY ROSE INC,OLEY BEER MART,19547-8859,US,06**1554,Retail,02/28/2022,"673 OLD STATE RD
OLEY, PA 19547-8859
(40.386575, -75.796502)"
WESTMORELAND,DAVE MEDRED,CLIFFS EDGE,16226,US,65**3736,Vending,02/28/2022,"501 4TH AVENUE
FORD CITY, PA 16226
(40.765072, -79.536242)"
ARMSTRONG,BRANDY INC,SPRANKLES NEIGHBORHOOD MARKET,15656-1215,US,03**4900,Cig/OTP Retail,02/28/2022,"117 3RD ST
LEECHBURG, PA 15656-1215
(40.627633, -79.607524)"
FAYETTE,IACOBONI INC,VALS DISTRIBUTING,15012-1948,US,26**7830,Cig/OTP Retail,02/28/2022,"1025 ROSTRAVER RD
BELLE VERNON, PA 15012-1948
(40.141768, -79.841583)"
DAUPHIN,ASHADEEP INCORPORATED,SUNOCO APLUS,17104-1231,US,22**9262,Cig/OTP Retail,02/28/2022,"1700 DERRY ST
HARRISBURG, PA 17104-1231
(40.262177, -76.862105)"
FAYETTE,HERBERT VARGO JR,VARGOS NEWSSTAND,15438,US,26**4010,Retail,02/28/2022,"222 MAIN ST
FAYETTE CITY, PA 15438
(40.10033, -79.840076)"
PHILADELPHIA,SUNBEAM ENTERPRISES INC,SUNOCO A PLUS,19150-1003,US,51**0163,Retail,02/28/2022,"3200 W CHELTENHAM AVE
PHILADELPHIA, PA 19150-1003
(40.082, -75.172047)"
BERKS,NEW 5TH & SPRUCE FOOD MARKET LLC,NEW 5TH & SPRUCE FOOD MARKET LLC,19602,US,06**1919,Cig/OTP Retail,02/28/2022,"246 S 5TH ST
READING, PA 19602
(40.330793, -75.928041)"
MONROE,PRW BEVERAGE LLC,PRW BEVERAGE LLC,18610,US,45**3439,Retail,02/28/2022,"1466 PA-940
BLAKESLEE, PA 18610"
PHILADELPHIA,EDILIO VARGAS,VARGAS GROCERY,19121,US,51**7611,Retail,02/28/2022,"1800 N 31ST STREET
PHILADELPHIA, PA 19121
(39.983804, -75.184762)"
YORK,COLLETTI INC,BREWERS OUTLET,17403-1614,US,67**4514,Cig/OTP Retail,02/28/2022,"409 E PHILADELPHIA ST
YORK, PA 17403-1614
(39.967052, -76.719299)"
SOMERSET,ALAM ENTERPRISES LLC,ALAM ENTERPRISES LLC,15557,US,56**8424,Retail,02/28/2022,"2759 SCULTON ROAD
ROCKWOOD, PA 15557
(39.937548, -79.238395)"
PHILADELPHIA,NEW LIFE GROCERY LLC,NEW LIFE GROCERY LLC,19120,US,51**0922,OTP Retail,02/28/2022,"5882 N 7TH STREET
PHILADELPHIA, PA 19120
(40.041794, -75.133089)"
LACKAWANNA,SMOKIN JOES QUALITY MEATS & DELI INCORPO,SMOKIN JOES QUALITY MEATS & DELI IN,18436-3240,US,35**8318,Cig/OTP Retail,02/28/2022,"1330 MT COBB ROAD
JEFFERSON TOWNSHIP, PA 18436-3240
(41.413544, -75.492495)"
