County,Legal Name,Trade Name,Postal Code,Country,Account Code,License Type,Expiration Date,Address & Lat/Long
BRADFORD,BISHOP BROS DEV CO INC,BISHOP'S HARDWARE & RENTAL,18850-7980,USA,08**0989,Cigarette/OTP Retail,02/29/2024,"23449 ROUTE 220
ULSTER, PA 18850-7980
(41.83993, -76.50484)"
PHILADELPHIA,MIAMI STORE INC,MIAMI STORE INC,19147-2102,USA,51**5512,Cigarette/OTP Retail,02/29/2024,"648 SOUTH ST
PHILADELPHIA, PA 19147-2102
(39.9422, -75.15369)"
MONTGOMERY,CAPL RETAIL LLC,JOE'S KWIK MARTS #1049,19406-3760,USA,46**1303,Cigarette/OTP Retail,02/29/2024,"710 S GULPH RD
KING OF PRUSSIA, PA 19406-3760
(40.0759, -75.35353)"
UNKNOWN/OUT OF STATE,TH MINIT MARKETS LLC,TH MINIT MARKETS LLC,01581-1032,USA,99**8104,Cigarette Wholesaler,02/28/2023,"165 FLANDERS RD
WESTBOROUGH, MA 01581-1032
(42.27625, -71.56317)"
ALLEGHENY,SG II GROUP LLC,SGII GROUP LLC,15205-4601,USA,02**2066,Cigarette/OTP Wholesaler,02/28/2023,"290 BILMAR DR
PITTSBURGH, PA 15205-4601
(40.45316, -80.10264)"
LAWRENCE,KLAFTERS INC,KLAFTERS INC,16101-2204,USA,37**5589,OTP Wholesaler,02/28/2023,"216 N BEAVER ST
NEW CASTLE, PA 16101-2204
(41.00267, -80.34877)"
BEDFORD,DODSON JOLENE R,LINDAS LITTLE GENERAL,16650-8247,USA,05**1666,Cigarette Retail,02/29/2024,"6453 RAYSTOWN RD
HOPEWELL, PA 16650-8247
(40.13837, -78.26967)"
ALLEGHENY,HAIR WORLD BROTHERS INC,HAIR WORLD BROTHERS INC,15235-3039,USA,02**4292,Cigarette/OTP Retail,02/28/2023,"10740 FRANKSTOWN RD
PITTSBURGH, PA 15235-3039
(40.46168, -79.84064)"
YORK,GSR GROUP INC,GSR GROUP INC,17318-2024,USA,67**7242,Cigarette/OTP Retail,02/29/2024,"3311 N GEORGE ST
EMIGSVILLE, PA 17318-2024
(40.01895, -76.7283)"
PIKE,SNH REAL ESTATES LLC,SNH REAL ESTATES LLC,18328-3484,USA,52**1332,Cigarette Retail,02/29/2024,"1816 ROUTE 739
DINGMANS FERRY, PA 18328-3484
(41.25014, -74.89428)"
ARMSTRONG,CORNER FOODMART LLC,CORNER FOODMART LLC,15774-2204,USA,03**3022,Cigarette/OTP Retail,02/29/2024,"11134 US ROUTE 422
SHELOCTA, PA 15774-2204
(40.68828, -79.33733)"
BUTLER,VAPOR IQ LLC,VAPOR IQ LLC CBD PLUS,16055-9301,USA,10**0746,OTP Retail,02/29/2024,"737 S PIKE RD
SARVER, PA 16055-9301
(40.69727, -79.71837)"
LAWRENCE,KLAFTERS INC,KLAFTERS INC,16101-2204,USA,37**0116,Cigarette Stamping Agent,02/28/2023,"216 N BEAVER ST
NEW CASTLE, PA 16101-2204
(41.00267, -80.34877)"
DELAWARE,RJ BUSINESS CORPORATION,RJ BUSINESS CORPORATION,19076-2411,USA,23**7680,Cigarette Retail,02/29/2024,"800 CHESTER PIKE
PROSPECT PARK, PA 19076-2411
(39.882, -75.30616)"
PHILADELPHIA,GRANDBLACKCIGARS&CO,GRANDBLACKCIGARS&CO,19138-2002,USA,51**6237,OTP Retail,02/29/2024,"6970 CEDAR PARK AVE
PHILADELPHIA, PA 19138-2002
(40.06038, -75.15286)"
PHILADELPHIA,REGALADO DELI GROCERY INC,REGALADO DELI GROCERY INC,19139-3932,USA,51**3188,Cigarette/OTP Retail,02/29/2024,"5503 SPRUCE ST
PHILADELPHIA, PA 19139-3932
(39.95535, -75.23214)"
DELAWARE,SUNMEET BEVERAGE LLC,SUNMEET BEVERAGE LLC,19082-1761,USA,23**7222,OTP Retail,02/29/2024,"7001 W CHESTER PIKE
UPPER DARBY, PA 19082-1761
(39.9621, -75.26197)"
PIKE,SNH REAL ESTATES LLC,SNH REAL ESTATES LLC,18328-3484,USA,52**2052,OTP Retail,02/29/2024,"1816 ROUTE 739
DINGMANS FERRY, PA 18328-3484
(41.25014, -74.89428)"
MERCER,AMERICAN LEGION HOME CORPORATION OF WHEA,2 CHEERY ST WHEATLAND PA 16161,16161-1115,USA,43**9285,Cigarette Vending,02/28/2023,"2 CHERRY ST
WHEATLAND, PA 16161-1115
(41.20092, -80.49216)"
LAWRENCE,UTSAV FOOD INC,UTSAV FOOD INC,16101-8448,USA,37**0070,Cigarette/OTP Retail,02/29/2024,"3384 PERRY HWY
NEW CASTLE, PA 16101-8448
(41.02282, -80.18663)"
CUMBERLAND,NEPALI GROCERY AND CELL PHONE REPAIR INC,NEPALI GROCERY & CELL PHONE REPAIR,17013-2578,USA,21**1943,Cigarette/OTP Retail,02/29/2024,"200 S SPRING GARDEN ST
CARLISLE, PA 17013-2578
(40.19855, -77.1818)"
BUCKS,CAPL RETAIL LLC,JOE'S KWIK MARTS #1048,18944-4184,USA,09**5802,Cigarette/OTP Retail,02/29/2024,"515 DUBLIN PIKE
PERKASIE, PA 18944-4184
(40.40469, -75.25568)"
DELAWARE,SUNMEET BEVERAGE LLC,SUNMEET BEVERAGE LLC,19082-1761,USA,23**7109,Cigarette Retail,02/29/2024,"7001 W CHESTER PIKE
UPPER DARBY, PA 19082-1761
(39.9621, -75.26197)"
WESTMORELAND,CENTER INDEPENDENT OIL STORES LLC,CIO STORES LLC #25,15666-1149,USA,65**1536,Cigarette/OTP Retail,02/29/2024,"550 N CHURCH ST
MOUNT PLEASANT, PA 15666-1149
(40.16091, -79.54511)"
