County,Legal Name,Trade Name,Postal Code,Country,Account Code,License Type,Expiration Date,Address & Lat/Long
NORTHAMPTON,EASTON CONVENIENCE TABACCO SHOP INC,1458 EASTON,18042-4088,USA,48**0019,Cigarette/OTP Retail,02/28/2025,"1458 NORTHAMPTON ST
EASTON, PA 18042-4088
(40.689965017, -75.231756026)"
LEBANON,H&S CONVENIENCE 777 INC.,777 VAPE & PLAY,17042-4529,USA,38**8242,Cigarette Retail,02/28/2025,"1305 CUMBERLAND ST
LEBANON, PA 17042-4529
(40.33892999, -76.433089029)"
LAWRENCE,MEDURE AMUSEMENTS INC,THE BRANDING IRON,16116-5407,USA,37**0071,Cigarette Vending,02/28/2025,"2221 BENJAMIN FRANKLIN PKWY
EDINBURG, PA 16116-5407
(41.037753984, -80.411709994)"
NORTHAMPTON,GG NAZA LLC,GG NAZA,18064-8429,USA,48**6452,OTP Retail,02/28/2025,"822 NAZARETH PIKE
NAZARETH, PA 18064-8429
(40.729478984, -75.313356032)"
LAWRENCE,MEDURE AMUSEMENTS INC,SIX PACKS,16101-6540,USA,37**0071,Cigarette Vending,02/28/2025,"3708 ELLWOOD RD
NEW CASTLE, PA 16101-6540
(40.934374021, -80.274617011)"
LEHIGH,WAWA INC.,WAWA INC #87,18015-4024,USA,70**2081,Cigarette/OTP Retail,02/28/2025,"1429 BROADWAY
FOUNTAIN HILL, PA 18015-4024
(40.600021999, -75.401387976)"
PHILADELPHIA,BRAVO BENITO,BRAVO SUPERMARKET,19121-2039,USA,51**3427,Cigarette/OTP Retail,02/28/2025,"2440 W NORRIS ST
PHILADELPHIA, PA 19121-2039
(39.985324987, -75.174556996)"
DELAWARE,WASIM & ROBIN INC,7-ELEVEN STORE #20056F,19018-2401,USA,23**0031,Cigarette/OTP Retail,02/28/2025,"500 E BALTIMORE AVE
CLIFTON HEIGHTS, PA 19018-2401
(39.932734999, -75.288587005)"
BUCKS,SMOKE N BAIT LLC,MORRISVILLE,19067-7133,USA,09**8376,Cigarette/OTP Retail,02/28/2025,"70 E BRIDGE ST
MORRISVILLE, PA 19067-7133
(40.209231982, -74.773976037)"
LAWRENCE,MEDURE AMUSEMENTS INC,CAPITOL GRILL,16101-3727,USA,37**0071,Cigarette Vending,02/28/2025,"108 N MERCER ST
NEW CASTLE, PA 16101-3727
(41.001589005, -80.345369997)"
SCHUYLKILL,DILAWARI LLC,DILAWARI LLC,17931-1423,USA,54**2574,Cigarette/OTP Retail,02/28/2025,"29 N LEHIGH AVE
FRACKVILLE, PA 17931-1423
(40.785837979, -76.231072003)"
DELAWARE,1201 CHESTER PIKE INC,1201 CHESTER PIKE INC,19022-1228,USA,15**0249,Cigarette Retail,02/28/2025,"1201 CHESTER PIKE
CRUM LYNNE, PA 19022-1228
(39.863586509, -75.347252963)"
ALLEGHENY,CARRICK INDO GROCERY LLC,CARRICK INDO GROCERY LLC,15210-4252,USA,02**0035,Cigarette/OTP Retail,02/28/2025,"2122 BROWNSVILLE RD
PITTSBURGH, PA 15210-4252
(40.392441987, -79.987238012)"
ALLEGHENY,SKY VAPORS,SKY VAPORS,15216-2608,USA,02**6796,Cigarette/OTP Retail,02/28/2025,"1422 POTOMAC AVE
PITTSBURGH, PA 15216-2608
(40.395690981, -80.034496021)"
LAWRENCE,MEDURE AMUSEMENTS INC,LOYAL ORDER OF MOOSE #51,16101-3827,USA,37**0071,Cigarette Vending,02/28/2025,"29 S MERCER ST
NEW CASTLE, PA 16101-3827
(40.999140987, -80.345344013)"
ERIE,DOLGENCORP LLC,DOLLAR GENERAL STORE #7108,16428-2226,USA,25**6231,Cigarette/OTP Retail,02/28/2025,"10670 W MAIN RD
NORTH EAST, PA 16428-2226
(42.210819019, -79.850560017)"
LUZERNE,SHEETZ INC,SHEETZ #820,18644-1618,USA,40**6797,Cigarette/OTP Retail,02/28/2025,"215 WYOMING AVE
WYOMING, PA 18644-1618
(41.313317612, -75.835220165)"
ALLEGHENY,ARAMA L.L.C,OG'S MINI MART,15140-1342,USA,02**2573,Cigarette Retail,02/28/2025,"378 BROADWAY
PITCAIRN, PA 15140-1342
(40.401581992, -79.780386975)"
PHILADELPHIA,SUN LIPING,MARKET KING RESTAURANT,19139-3057,USA,51**0011,Cigarette Retail,02/28/2025,"6145 MARKET ST
PHILADELPHIA, PA 19139-3057
(39.962639995, -75.244316978)"
WESTMORELAND,AZMAL INC,AZMAL INC,15666-1803,USA,65**7531,Cigarette/OTP Retail,02/28/2025,"741 W MAIN ST
MOUNT PLEASANT, PA 15666-1803
(40.150521989, -79.546095012)"
WESTMORELAND,PAISANO'S LLC,2126 DOUGLAS RUN ROAD SUTERSVILLE PA 15083,15083-1410,USA,65**7874,Cigarette/OTP Retail,02/28/2025,"2126 DOUGLAS RUN RD
SUTERSVILLE, PA 15083-1410
(40.24267301, -79.806068037)"
ALLEGHENY,NEW ROAD MART LLC,NEW ROAD NEPALI-INDO MART,15205-4148,USA,02**0043,Cigarette/OTP Retail,02/28/2025,"2300 NOBLESTOWN RD
PITTSBURGH, PA 15205-4148
(40.427839016, -80.054321988)"
LAWRENCE,MEDURE AMUSEMENTS INC,SONS OF ITALY,16101-4626,USA,37**0071,Cigarette Vending,02/28/2025,"905 S MILL ST
NEW CASTLE, PA 16101-4626
(40.990527994, -80.343655981)"
NORTHAMPTON,SAI SHYAM CORP,TOBACCO KING #5,18018-2002,USA,48**8141,Cigarette/OTP Retail,02/28/2025,"2191 W UNION BLVD
BETHLEHEM, PA 18018-2002
(40.625885995, -75.420367036)"
CLEARFIELD,OM SHIVA DUBOIS LLC,DUBOIS MINI MART,15801-2026,USA,17**0033,OTP Retail,02/28/2025,"101 S BRADY ST
DUBOIS, PA 15801-2026
(41.117488011, -78.763160966)"
LAWRENCE,MEDURE AMUSEMENTS INC,NITE TRAX,16116-1615,USA,37**0071,Cigarette Vending,02/28/2025,"5095 W STATE ST
EDINBURG, PA 16116-1615
(41.021449003, -80.512326025)"
LEHIGH,ALLENTOWN SMOKE SHOP INC,ALLENTOWN SMOKE SHOP INC,18102-4914,USA,39**0026,Cigarette/OTP Retail,02/28/2025,"209 W UNION ST
ALLENTOWN, PA 18102-4914
(40.604095981, -75.459643041)"
LUZERNE,YOLIS ECO MARKET CORP,YOLIS ECO MARKET CORP,18702-5535,USA,40**3097,Cigarette/OTP Retail,02/28/2025,"362 SCOTT ST
WILKES BARRE, PA 18702-5535
(41.247849991, -75.860820038)"
LAWRENCE,MEDURE AMUSEMENTS INC,JOHNSON CLUB,16132,USA,37**0071,Cigarette Vending,02/28/2025,"2392 CHURCHILL RD
HILLSVILLE, PA 16132
(41.005185009, -80.496584978)"
ALLEGHENY,ADAM VAPES & TOBACCO INC.,ADAM VAPES & TOBACCO INC.,15236-3811,USA,02**0030,OTP Retail,02/28/2025,"681 CLAIRTON BLVD
PITTSBURGH, PA 15236-3811
(40.329299015, -79.944403972)"
PHILADELPHIA,YU YOU CHANG,NEW CHINA RESTAURANT,19148-3810,USA,51**2158,Cigarette Retail,02/28/2025,"2354 S 7TH ST
PHILADELPHIA, PA 19148-3810
(39.91928502, -75.159161033)"
BUTLER,T&A LLC,BUTLER FOOD MART,16001-7043,USA,10**7873,Cigarette/OTP Retail,02/28/2025,"317 CENTER AVE
BUTLER, PA 16001-7043
(40.855484316, -79.890055117)"
LEHIGH,SHRI SHUBAN LLC,SHRI SHUBHAN LLC,18101-1817,USA,39**0023,Cigarette/OTP Retail,02/28/2025,"315 W LINDEN ST
ALLENTOWN, PA 18101-1817
(40.606724001, -75.46264502)"
CRAWFORD,SKYVIEW AMUSEMENTS INC,BEAR INN,16438-3755,USA,25**0004,Cigarette Vending,02/28/2025,"36009 LAKE RD
UNION CITY, PA 16438-3755
(41.810308007, -79.829130005)"
LEHIGH,RIVERSIDE MARKET ENTERPRISE LLC,W. HAMILTON STORE,18101-1960,USA,39**6187,Cigarette Retail,02/28/2025,"123 HAMILTON ST
ALLENTOWN, PA 18101-1960
(40.606185003, -75.458454991)"
ALLEGHENY,DEES CAFE 1314 1316 EAST CARASON STREET INC,DEES CAFE,15203-1510,USA,02**0037,Cigarette Vending,02/28/2025,"1314 E CARSON ST
PITTSBURGH, PA 15203-1510
(40.428589992, -79.984640963)"
PHILADELPHIA,BELFIELD DELI MARKET INC,BELFIELD DELI MARKET INC,19141-1500,USA,51**0018,Cigarette/OTP Retail,02/28/2025,"1653 BELFIELD AVE
PHILADELPHIA, PA 19141-1500
(40.028056013, -75.151641041)"
PHILADELPHIA,AROD INC,ARDO INC,19145-1804,USA,51**0015,Cigarette Retail,02/28/2025,"1700 S 24TH ST
PHILADELPHIA, PA 19145-1804
(39.931315021, -75.185190027)"
DAUPHIN,KARNS PRIME & FANCY FOOD LTD,KARNS FOODS,17057-1450,USA,70**2002,Cigarette/OTP Retail,02/28/2025,"101 S UNION ST
MIDDLETOWN, PA 17057-1450
(40.193923987, -76.731861968)"
BERKS,NAVAS EL MERCADITO LLC,NAVAS EL MERCADITO LLC,19560-1257,USA,06**5829,Cigarette Retail,02/28/2025,"5369 ALLENTOWN PIKE
TEMPLE, PA 19560-1257
(40.416028998, -75.918716023)"
CLEARFIELD,OM SHIVA DUBOIS LLC,DUBOIS MINI MART,15801-2026,USA,17**0032,Cigarette Retail,02/28/2025,"101 S BRADY ST
DUBOIS, PA 15801-2026
(41.117488011, -78.763160966)"
BUCKS,CAPL RETAIL LLC,JOE'S KWIK MARTS #383,19047,USA,09**2333,Cigarette/OTP Retail,02/28/2025,"1266 E OLD LINCOLN HWY
LANGHORNE, PA 19047
(40.176908366, -74.892407079)"
PHILADELPHIA,VARGAS SUPER MARKET INC,VARGAS SUPER MARKET INC,19124-2756,USA,51**0021,Cigarette Retail,02/28/2025,"1701 WAKELING ST
PHILADELPHIA, PA 19124-2756
(40.018942999, -75.077449966)"
MERCER,VIKING BEVERAGE INC,VIKING BEVERAGE INC,16125-2257,USA,43**1405,Cigarette Retail,02/28/2025,"1 CLINTON ST
GREENVILLE, PA 16125-2257
(41.40344502, -80.390420966)"
DELAWARE,VERAS FOOD MARKET INC,VERAS FOOD MARKET INC,19082-4208,USA,23**7022,Cigarette/OTP Retail,02/28/2025,"6801 MARSHALL RD
UPPER DARBY, PA 19082-4208
(39.954500999, -75.255197024)"
WASHINGTON,LATHIA INVESTMENTS LLC,CANONSBURG SUNOCO,15317-1147,USA,63**9790,Cigarette/OTP Retail,02/28/2025,"404 W PIKE ST
CANONSBURG, PA 15317-1147
(40.258263014, -80.196801014)"
