"ID","age","sex","ethnicity","ethnic.target","target.type","target","sympathy","average.sympathy","c.sympathy","c.average.sympathy","warmth"
2686418065,19,"female","East Asian","White","outgroup",1,1,3.28571428571429,-2.28571428571429,-3.27061556329849,6
2686421993,21,"female","Black","White","outgroup",1,2,8.14285714285714,-6.14285714285714,1.58652729384437,6
2689644625,20,"male","White","White","ingroup",-1,10,9.42857142857143,0.571428571428571,2.87224157955865,9
2691389255,16,"female","White","White","ingroup",-1,4,5.85714285714286,-1.85714285714286,-0.699186991869919,11
2693147902,42,"female","White","White","ingroup",-1,9,7.57142857142857,1.42857142857143,1.0150987224158,9
2699273962,19,"female","White","White","ingroup",-1,6,6.71428571428571,-0.714285714285714,0.157955865272939,9
2699519421,27,"male","Black","White","outgroup",1,2,2.28571428571429,-0.285714285714286,-4.27061556329849,6
2703252355,19,"male","South Asian","White","outgroup",1,10,9.28571428571429,0.714285714285714,2.72938443670151,9
2704910121,16,"male","South Asian","White","outgroup",1,11,10,1,3.44367015098722,10
2707212945,22,"female","Arabic","White","outgroup",1,9,8.71428571428571,0.285714285714286,2.15795586527294,9
2715291121,22,"female","South Asian","White","outgroup",1,10,9.85714285714286,0.142857142857142,3.30081300813008,8
2723401015,65,"male","White","White","ingroup",-1,10,8,2,1.44367015098722,10
2725041058,28,"female","Black","White","outgroup",1,6,5.33333333333333,0.666666666666667,-1.22299651567944,5
2726742898,17,"female","East Asian","White","outgroup",1,6,7.42857142857143,-1.42857142857143,0.872241579558653,9
2726811272,23,"male","White","White","ingroup",-1,10,6.28571428571429,3.71428571428571,-0.27061556329849,10
2726822900,21,"male","South Asian","White","outgroup",1,6,5.85714285714286,0.142857142857143,-0.699186991869919,6
2727418770,21,"male","White","White","ingroup",-1,10,6.71428571428571,3.28571428571429,0.157955865272939,10
2727425179,18,"female","Black","White","outgroup",1,11,10.4285714285714,0.571428571428571,3.87224157955865,10
2728025456,35,"female","White","White","ingroup",-1,5,4.85714285714286,0.142857142857143,-1.69918699186992,6
2728049492,25,"female","East Asian","White","outgroup",1,8,8,0,1.44367015098722,9
2728062356,48,"female","White","White","ingroup",-1,6,6.57142857142857,-0.571428571428571,0.0150987224157957,7
2728503749,44,"male","White","White","ingroup",-1,1,1.85714285714286,-0.857142857142857,-4.69918699186992,11
2729554736,21,"female","White","White","ingroup",-1,3,6.14285714285714,-3.14285714285714,-0.413472706155632,9
2729753307,19,"female","East Asian","White","outgroup",1,7,7.28571428571429,-0.285714285714286,0.72938443670151,8
2729825008,35,"female","East Asian","White","outgroup",1,4,6.85714285714286,-2.85714285714286,0.300813008130081,10
2731364880,18,"female","South Asian","White","outgroup",1,9,9,0,2.44367015098722,8
2731379974,18,"female","South Asian","White","outgroup",1,3,5.85714285714286,-2.85714285714286,-0.699186991869919,9
2731389812,19,"male","South Asian","White","outgroup",1,9,8.14285714285714,0.857142857142858,1.58652729384437,10
2731396843,24,"female","South Asian","White","outgroup",1,7,3.42857142857143,3.57142857142857,-3.12775842044135,11
2731427023,29,"female","East Asian","White","outgroup",1,8,7.57142857142857,0.428571428571429,1.0150987224158,6
2731433398,23,"female","South Asian","White","outgroup",1,4,6.85714285714286,-2.85714285714286,0.300813008130081,10
2731438695,16,"female","East Asian","White","outgroup",1,6,6.14285714285714,-0.142857142857143,-0.413472706155632,6
